id,vgi_id,name,slug,type,games_developed,games_released,games_unreleased,revenue_sum,revenue_median,revenue_avg,self_published,indie,action,casual,adventure,simulation,strategy,rpg,mmo,racing,sports,country_name
38764,,Blow and Try Again,blow-and-try-again,30,1,1,0,102091,102091,102091,0,100,100,0,100,0,0,0,0,0,0,
20817,,Celeritas Games,celeritas-games,30,5,5,5,102041,22894,20408,10,100,50,30,60,50,30,0,0,0,0,
19382,,NEW AUDIO TECHNOLOGY,new-audio-technology,30,1,1,0,102030,102030,102030,1,0,0,0,0,0,0,0,0,0,0,
1635661,,LAVABIRD,lavabird,30,1,1,0,102018,102018,102018,0,100,0,0,100,0,100,0,0,0,0,United Kingdom
5144634,,PISHO,pisho,30,2,2,0,102013,102013,51007,2,50,0,0,0,100,0,0,0,0,0,
24705,,Pocket Games,pocket-games,30,3,3,0,102000,42,34000,0,67,0,67,0,33,67,0,0,0,0,Hungary
292362,,AVIAR B.V.,aviar-b-v,30,2,2,0,101999,51000,51000,2,0,50,0,50,100,0,0,0,0,0,
26701,,GodSpeed Games,godspeed-games,30,1,1,0,101958,101958,101958,0,0,0,0,0,100,100,0,0,0,0,India
28212,,Fluid Games,fluid-games,30,1,1,0,101958,101958,101958,0,0,0,0,0,100,100,0,0,0,0,
28261,,Ian Isaro,ian-isaro,30,1,1,0,101936,101936,101936,0,100,0,0,0,100,0,100,0,0,0,
191396,,Awaken Realms,awaken-realms,30,1,1,2,101909,0,101909,3,67,67,67,33,33,0,0,0,0,0,Poland
16627,,NFA,nfa,30,1,1,0,101900,101900,101900,1,100,100,0,0,0,0,0,0,0,0,
29757,,AMASS,amass,30,1,1,0,101900,101900,101900,0,100,100,0,0,0,0,0,0,0,0,
102205,,False Prophet,false-prophet,30,1,1,1,101843,101843,101843,2,0,50,0,50,0,50,100,0,0,0,
30915,,Charles Games,charles-games,30,5,5,1,101822,50911,20364,6,83,17,17,50,17,17,0,0,0,0,Czech Republic
34121,,William at Oxford,william-at-oxford,30,55,55,0,101819,566,1851,55,2,20,98,13,13,2,9,0,0,4,
34916,,City From Naught Inc.,city-from-naught-inc,30,1,1,2,101790,101790,101790,3,100,33,0,33,33,33,33,0,0,0,
14446,,The Revills Games,the-revills-games,30,12,12,0,101772,1718,8481,11,67,0,100,0,0,8,0,0,0,0,
14887,,Future Immersive,future-immersive,30,1,1,0,101772,101772,101772,1,100,100,0,0,0,0,0,0,0,0,
21367,,Howling Moon Software,howling-moon-software,30,1,1,1,101766,101766,101766,2,50,50,50,100,50,0,50,0,0,0,
1635396,,Latest Past,latest-past,30,1,1,0,101741,101741,101741,0,100,100,0,0,0,0,0,0,0,0,
